10530.8652,21.2560
10524.7979,21.4632
10515.5049,21.8149
10509.4141,22.1642
10511.9727,22.0654
10515.8955,21.7386
10504.7373,22.4485
10508.9736,22.0918
10503.3721,22.4349
10504.4980,22.4365
10503.5303,22.5521
10514.3477,22.0377
10522.2266,21.5641
10513.7383,22.0457
10517.7188,21.8321
10519.1270,21.6909
10514.4736,21.8730
10513.3760,21.9208
10511.3965,21.9156
10505.6924,22.2233
10504.1338,22.1727
10496.6768,22.4747
10487.7344,23.0964
10497.8975,22.4459
10487.9473,22.9684
10482.7480,23.1208
10475.6553,23.4584
10470.5342,23.8480
10470.8857,23.7124
10473.4600,23.6698
10479.5234,23.1787
10471.3193,23.7717
10469.2500,23.9366
10466.6523,24.1240
10466.9668,23.9193
10463.4932,24.0394
10461.0547,24.1183
10460.7285,23.8629
10449.2217,24.5268
10444.9678,24.7320
10431.4209,25.6752
10427.2275,26.3541
10430.6758,26.2325
10435.7949,25.6828
10440.2686,25.2320
10439.5596,25.2974
10442.1113,24.8192
10431.4863,25.5742
10428.5928,25.6629
10420.0498,26.2203
10416.7344,26.4408
10411.9482,26.9475
10410.1816,26.9917
10407.7314,26.9734
10403.0674,27.4348
10404.7383,27.4736
10406.2139,27.1504
10405.6104,27.4773
10408.5029,27.5310
10411.7236,26.9567
10413.1670,26.7527
10412.3359,27.0600
10415.5557,26.5626
10411.2959,26.6081
10401.3252,27.4785
10406.5078,27.2611
10408.9150,26.9298
10405.9238,27.3022
10402.7324,27.3983
10398.2949,27.7552
10397.6426,27.8243
10395.9971,27.8903
10395.1719,27.8971
10394.3008,27.7869
10388.6670,28.0772
10386.6543,28.8272
10388.3320,28.6496
10389.6953,28.5285
10391.3340,28.5036
10389.7109,28.3577
10388.7139,28.5275
10387.1035,28.3821
10385.7793,28.6113
10385.0146,28.4349
10378.6475,28.4792
10381.2207,29.9944
10377.5576,30.0095
10379.4336,30.1539
10381.7695,30.1222
10377.2617,30.0312
10382.3936,30.6306
10382.1387,30.3874
10380.1611,30.0281
10378.5342,29.9377
10380.9629,30.2102
10381.4629,30.2659
10377.2090,30.2114
10380.7363,30.5003
10380.8330,30.3190
10381.1250,30.4104
10378.8789,30.4474
10382.0830,30.5850
10380.6982,30.3505
10381.6992,30.2983
10383.4219,30.2340
10381.5957,29.9663
10382.0820,29.9645
10386.5176,29.9730
10386.8057,29.5980
10383.3545,29.2148
10382.1699,29.2310
10379.9707,29.3074
10376.7402,29.4864
10374.2412,29.7567
10372.2129,30.2963
10372.5557,31.0532
10374.3213,31.6237
10374.8213,32.0145
10379.6738,32.5950
10383.6016,32.8609
10386.0322,32.9437
10386.8369,32.9583
10384.5957,32.7815
10381.6934,32.5162
10382.3574,32.6683
10378.0469,32.4349
10377.5361,32.5290
10378.2090,32.7735
10379.7500,33.0853
10385.5762,33.2653
10386.6025,33.4399
10384.5029,33.3339
10385.5781,33.3862
10387.4414,33.5971
10380.8965,33.3514
10386.4990,33.8277
10384.5820,33.7732
