TrueDistance,TrueAngle,Distance,Angle
11038.3022,11.0908,11064.1238,8.4722
11032.5739,11.1731,11040.1091,9.8752
11026.8697,11.2555,11007.5533,11.4304
11021.1888,11.3379,11112.9498,10.8312
11015.5293,11.4205,10913.6716,9.529
11009.8931,11.5031,10962.1525,11.2127
11004.281,11.5858,11001.707,11.2253
10998.6904,11.6686,11058.7853,9.4251
10993.1239,11.7515,10943.107,10.1207
10987.5798,11.8344,11027.0664,9.7586
10982.0598,11.9175,10999.1589,14.1224
10976.5613,12.0006,10989.1525,14.7952
10971.0869,12.0838,10936.8253,10.3104
10965.6349,12.1671,11025.4678,13.182
10960.207,12.2505,10941.309,16.0062
10954.8014,12.334,10985.3786,15.0369
10949.42,12.4175,10979.3919,11.8055
10944.0619,12.5011,10897.6471,8.9308
10938.727,12.5848,10939.1096,10.6324
10933.4153,12.6686,10975.0888,12.7552
10928.126,12.7525,10915.1557,12.0885
10922.8617,12.8365,10944.0646,13.643
10917.6198,12.9205,10892.3963,14.4568
10912.402,13.0046,10874.1572,15.0289
10907.2083,13.0888,10896.0727,12.5336
10902.037,13.1731,10893.2099,10.8741
10896.8899,13.2574,11027.3409,14.4832
10891.766,13.3418,10954.0683,12.8496
10886.6662,13.4264,10876.8645,13.7927
10881.5897,13.5109,10876.1662,12.5931
10876.5373,13.5956,10858.5155,13.6935
10871.509,13.6804,10823.375,14.3906
10866.504,13.7652,10955.8314,12.2849
10861.5223,13.8501,10990.4221,15.6072
10856.5655,13.9351,10827.1989,15.7362
10851.6321,14.0201,10819.0173,13.0396
10846.7227,14.1053,10846.9257,12.7198
10841.8375,14.1905,10866.0901,15.4859
10836.9765,14.2758,10806.1731,17.3343
10832.1387,14.3611,10802.739,19.8467
10827.325,14.4466,10807.8209,14.8503
10822.5363,14.5321,10876.4631,13.1697
10817.7719,14.6177,10810.3591,16.5561
10813.0306,14.7034,10808.6801,16.449
10808.3135,14.7891,10790.2819,12.55
10803.6214,14.8749,10811.0753,16.8994
10798.9535,14.9608,10785.2581,17.3486
10794.3097,15.0468,10814.3261,16.8705
10789.6891,15.1328,10771.248,16.709
10785.0945,15.2189,10725.3116,16.4397
10780.5231,15.3051,10750.5637,14.1715
10775.9777,15.3914,10719.0013,16.3076
10771.4555,15.4777,10766.961,14.7804
10766.9583,15.5641,10721.1882,16.93
10762.4844,15.6506,10728.0564,15.3515
10758.0364,15.7371,10766.2171,18.4042
10753.6125,15.8238,10869.7352,19.2662
10749.2128,15.9105,10759.9935,16.886
10744.839,15.9972,10730.5482,16.4016
10740.4885,16.084,10761.5519,13.3496
10736.163,16.171,10763.7227,12.5142
10731.8625,16.2579,10753.6831,18.4187
10727.587,16.345,10713.2131,15.2228
10723.3357,16.4321,10783.5039,16.4069
10719.1095,16.5193,10667.0174,20.048
10714.9082,16.6065,10671.8963,18.204
10710.7311,16.6938,10682.2872,14.9836
10706.58,16.7812,10700.2598,18.6384
10702.453,16.8687,10670.9692,15.9669
10698.351,16.9562,10734.6627,19.9946
10694.274,17.0438,10707.9846,15.7159
10690.223,17.1314,10704.6273,18.2223
10686.1952,17.2191,10644.5977,17.3016
10682.1942,17.3069,10677.7909,19.239
10678.2174,17.3948,10668.8476,20.4734
10674.2656,17.4827,10801.5811,16.9794
10670.3398,17.5707,10640.0996,19.5479
10666.438,17.6587,10630.2103,19.9071
10662.5623,17.7468,10634.0691,14.4392
10658.7115,17.835,10642.9392,20.9303
10654.8867,17.9232,10683.513,14.4791
10651.086,18.0115,10731.9322,15.2945
10647.3112,18.0999,10759.1227,18.5426
10643.5615,18.1883,10600.2295,17.2739
10639.8377,18.2768,10584.5958,14.1198
10636.1389,18.3654,10735.5675,17.7599
10632.4661,18.454,10695.667,18.742
10628.8174,18.5426,10630.0735,15.2489
10625.1955,18.6314,10579.1178,19.7889
10621.5987,18.7202,10658.9797,20.933
10618.0277,18.809,10554.0696,19.105
10614.4819,18.8979,10657.4053,18.917
10610.961,18.9869,10651.2451,22.125
10607.467,19.0759,10672.8825,19.9909
10603.9971,19.165,10622.2281,19.0084
10600.554,19.2542,10655.7503,18.2219
10597.1369,19.3434,10615.5968,19.4728
10593.7439,19.4326,10653.719,17.8492
10590.3777,19.522,10642.0362,16.7775
10587.0384,19.6113,10546.7552,19.8868
10583.7223,19.7008,10581.9699,19.5589
10580.4339,19.7903,10511.9857,18.9887
10577.1706,19.8798,10497.0619,20.1391
10573.934,19.9694,10502.8725,20.959
10570.7225,20.0591,10532.2561,21.7764
10567.537,20.1488,10625.4208,23.7082
10564.3773,20.2385,10489.8611,24.0609
10561.2445,20.3283,10628.1129,20.7313
10558.1358,20.4182,10600.0113,20.273
10555.0548,20.5081,10539.6143,19.9632
10551.9989,20.5981,10528.5251,22.8759
10548.9689,20.6881,10581.3083,24.268
10545.9657,20.7782,10508.7402,18.4585
10542.9885,20.8683,10675.8714,24.8854
10540.0372,20.9585,10566.7216,20.1963
10537.1118,21.0487,10510.9987,22.4498
10534.2132,21.139,10616.3666,21.6469
10531.3396,21.2293,10488.1132,24.877
10528.4929,21.3197,10547.1987,24.6554
10525.673,21.4101,10519.6291,18.9086
10522.8782,21.5006,10512.338,23.3856
10520.1101,21.5911,10570.3819,23.0531
10517.368,21.6817,10584.4089,20.8561
10514.6536,21.7723,10488.4386,21.6217
10511.9643,21.863,10510.4202,22.0022
10509.3008,21.9537,10398.6982,20.1381
10506.6642,22.0444,10463.081,22.8845
10504.0544,22.1352,10418.1942,20.9487
10501.4706,22.2261,10463.8499,19.2727
10498.9135,22.317,10474.906,26.605
10496.3824,22.4079,10553.8049,20.39
10493.8781,22.4989,10559.0817,22.7678
10491.4007,22.5899,10434.9169,21.825
10488.9482,22.681,10414.1039,21.5707
10486.5235,22.7721,10576.7629,24.4482
10484.1247,22.8632,10381.4918,23.5785
10481.7536,22.9544,10500.3172,26.1591
10479.4085,23.0456,10448.4594,20.368
10477.0902,23.1369,10525.6042,22.9049
10474.7969,23.2282,10503.3347,23.1351
10472.5322,23.3196,10531.497,25.2914
10470.2926,23.411,10444.2161,23.7111
10468.0806,23.5024,10450.9172,24.2928
10465.8955,23.5938,10535.9092,26.0872
10463.7364,23.6854,10459.0192,21.3445
10461.6049,23.7769,10414.7878,24.107
10459.4994,23.8685,10490.0748,20.8794
10457.4198,23.9601,10455.848,21.8308
10455.3679,24.0517,10512.1708,26.1062
10453.3428,24.1434,10552.1867,27.9522
10451.3445,24.2352,10426.1926,27.4677
10449.3731,24.3269,10465.402,24.1829
10447.4276,24.4187,10367.2546,27.9924
10445.5099,24.5105,10365.2474,21.3862
10443.618,24.6024,10385.0815,25.3095
10441.7539,24.6943,10439.6787,23.392
10439.9166,24.7862,10383.6983,25.1726
10438.1061,24.8782,10468.5912,24.0848
10436.3224,24.9702,10516.0394,26.6668
10434.5655,25.0622,10447.7817,27.295
10432.8355,25.1542,10505.0844,24.496
10431.1332,25.2463,10440.6247,25.4409
10429.4568,25.3384,10358.2057,28.6862
10427.8082,25.4306,10326.7863,24.4367
10426.1863,25.5227,10379.5311,26.347
10424.5904,25.6149,10558.6526,29.5303
10423.0231,25.7072,10434.3599,27.1783
10421.4826,25.7994,10444.7472,23.7044
10419.9681,25.8917,10399.1193,29.8024
10418.4812,25.984,10398.4442,26.7941
